video,frame,person_id,fall,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
S_D_0083_resized,29,0,0,375.23028564453125,470.8285217285156,0.9927067160606384,391.2637939453125,452.7850036621094,0.9706248641014099,355.9837951660156,455.06683349609375,0.980857253074646,410.2142028808594,463.6761474609375,0.7219001650810242,321.9530334472656,466.2225036621094,0.8910340666770935,457.2015075683594,552.887939453125,0.9960967898368835,261.7608947753906,562.367919921875,0.9955474138259888,553.2557983398438,638.135986328125,0.9705453515052795,190.21998596191406,651.3294677734375,0.9606043100357056,621.8598022460938,744.3343505859375,0.9368504881858826,226.40655517578125,692.9397583007812,0.9287210702896118,443.7477111816406,807.2704467773438,0.9945293068885803,313.51593017578125,818.77197265625,0.993564784526825,497.9294738769531,985.2180786132812,0.84881192445755,326.9427795410156,1006.7852172851562,0.8365160226821899,507.802734375,1080.0,0.23189133405685425,319.5111389160156,1080.0,0.21215030550956726
S_D_0083_resized,58,0,0,354.7776794433594,527.4141235351562,0.04452885314822197,355.3260192871094,515.052978515625,0.022504720836877823,357.84747314453125,514.9793701171875,0.010374720208346844,338.868408203125,521.60205078125,0.8833407163619995,387.13427734375,522.7813110351562,0.6965733170509338,311.8262939453125,578.64697265625,0.996250569820404,425.8064270019531,580.24755859375,0.9964175224304199,258.35931396484375,642.562744140625,0.9695879220962524,477.1675720214844,654.455322265625,0.9608027935028076,243.7061004638672,686.6333618164062,0.8639345169067383,499.8133239746094,712.167236328125,0.8210358023643494,328.4108581542969,734.3381958007812,0.9991583824157715,402.5194396972656,733.174072265625,0.9991224408149719,296.9837341308594,831.633544921875,0.9969913959503174,380.6641845703125,829.6856079101562,0.9969103932380676,291.6484375,935.06201171875,0.9777684807777405,373.10003662109375,933.8449096679688,0.9784771800041199
S_D_0083_resized,0,0,0,478.620849609375,134.14537048339844,0.9938137531280518,524.5548095703125,89.72626495361328,0.9916963577270508,431.7060852050781,88.05424499511719,0.9659600853919983,588.2564086914062,130.32501220703125,0.9680315256118774,365.8113098144531,127.04862213134766,0.6478199362754822,780.2760009765625,373.1307373046875,0.9978995323181152,232.37733459472656,379.3681640625,0.9955560564994812,976.9702758789062,659.6322631835938,0.9551206827163696,122.77020263671875,650.3051147460938,0.887876570224762,939.802001953125,835.9063720703125,0.7447712421417236,117.77647399902344,710.4315795898438,0.668513298034668,711.7330932617188,974.3705444335938,0.7128453850746155,341.655517578125,977.6531372070312,0.6339526176452637,866.302001953125,891.193115234375,0.0023577935062348843,319.3212890625,897.112548828125,0.0020670846570283175,749.0084228515625,975.1519775390625,0.0001644038420636207,269.2404479980469,965.5504150390625,0.0001560993114253506
S_D_0085_resized,29,0,0,446.10150146484375,440.690185546875,0.9657335877418518,464.4346618652344,425.7380676269531,0.9490448236465454,431.4280090332031,427.9426574707031,0.9066430926322937,496.10614013671875,438.30267333984375,0.8061999678611755,414.6974792480469,441.9892578125,0.4318929612636566,542.8163452148438,518.9304809570312,0.95174640417099,376.661865234375,519.9291381835938,0.9770984649658203,616.26123046875,581.8773803710938,0.7632550597190857,270.6335754394531,567.4261474609375,0.8707672953605652,679.3270874023438,697.1917114257812,0.6831672191619873,201.5929718017578,655.5771484375,0.7765378355979919,503.31494140625,734.546630859375,0.9902846217155457,393.6719055175781,732.9852294921875,0.9929245710372925,499.6541442871094,913.4024658203125,0.9649868011474609,335.27099609375,916.8716430664062,0.9730883240699768,513.6511840820312,1065.6181640625,0.8409126400947571,308.5370788574219,1073.100341796875,0.8692190647125244
S_D_0085_resized,58,0,0,263.7749328613281,537.539794921875,0.04139421880245209,263.32342529296875,526.0491333007812,0.015593459829688072,266.85736083984375,527.6421508789062,0.014358979649841785,248.17221069335938,529.270751953125,0.6701980829238892,289.4510803222656,534.2543334960938,0.5610896348953247,218.3673858642578,579.7615356445312,0.9795873165130615,316.5366516113281,585.85888671875,0.9945599436759949,161.34181213378906,651.9321899414062,0.9061416387557983,370.17047119140625,655.5543823242188,0.9743751287460327,145.5450439453125,711.4934692382812,0.7806073427200317,399.01788330078125,706.1056518554688,0.8876726627349854,223.39425659179688,721.656005859375,0.9987804293632507,283.05755615234375,723.0919189453125,0.999298095703125,212.1079864501953,827.4218139648438,0.997696578502655,262.5283203125,831.2117309570312,0.9986353516578674,218.93075561523438,936.078125,0.9883009791374207,251.312744140625,940.7155151367188,0.9922081828117371
S_D_0085_resized,0,0,0,434.1387939453125,210.0070037841797,0.9523256421089172,464.95513916015625,170.0139923095703,0.9340198636054993,418.65966796875,183.77281188964844,0.6654430031776428,547.9642333984375,178.61376953125,0.9754634499549866,436.3031005859375,201.07518005371094,0.22383469343185425,721.838623046875,380.46893310546875,0.9880830645561218,386.5862121582031,387.1931457519531,0.9975292086601257,830.2723999023438,663.2341918945312,0.8862063884735107,277.04034423828125,598.2986450195312,0.9792272448539734,746.6646118164062,863.4501342773438,0.7096043229103088,145.4654083251953,734.4720458984375,0.8886777758598328,661.2942504882812,944.3685913085938,0.9244081377983093,439.0403137207031,932.6920166015625,0.9671958684921265,668.097900390625,1080.0,0.008507143706083298,380.9696350097656,1080.0,0.020833350718021393,630.68310546875,1080.0,0.00020607459009625018,378.3262023925781,1080.0,0.00043220032239332795
S_D_0046,60,0,0,1286.156494140625,208.46539306640625,0.10044056177139282,1281.5782470703125,194.14260864257812,0.03656495362520218,1289.3109130859375,193.99667358398438,0.04693691432476044,1250.8221435546875,197.68038940429688,0.4161393344402313,1302.0802001953125,199.82093811035156,0.4981708824634552,1233.8507080078125,272.6347961425781,0.9638689160346985,1298.9139404296875,271.86798095703125,0.9765260815620422,1207.5948486328125,398.4758605957031,0.8827522993087769,1327.1187744140625,381.89923095703125,0.9194946885108948,1227.338134765625,508.92950439453125,0.7646961212158203,1367.407958984375,466.6051025390625,0.8040722012519836,1243.3851318359375,492.96881103515625,0.9946138262748718,1286.842529296875,496.7923278808594,0.9954191446304321,1248.8572998046875,634.2771606445312,0.9891707301139832,1292.7969970703125,642.5438232421875,0.9908974766731262,1265.179931640625,786.2058715820312,0.9627571702003479,1310.9986572265625,796.8328857421875,0.9669280052185059
S_D_0046,0,0,0,1339.141357421875,65.82783508300781,0.99544757604599,1355.138916015625,45.40864562988281,0.9774008393287659,1313.7833251953125,50.75239562988281,0.9868289828300476,1383.2578125,63.78703308105469,0.8098848462104797,1282.31982421875,79.07757568359375,0.8809773325920105,1436.1358642578125,186.67315673828125,0.9967218041419983,1250.690185546875,209.8718719482422,0.9991795420646667,1495.399169921875,312.5018005371094,0.9761247038841248,1221.16259765625,349.6651611328125,0.9951529502868652,1549.9981689453125,433.7460021972656,0.9717384576797485,1227.084716796875,466.5499267578125,0.9898955821990967,1431.966064453125,479.310791015625,0.9991084933280945,1310.03857421875,492.6294250488281,0.9995290040969849,1462.763671875,680.3222045898438,0.9948227405548096,1307.89599609375,701.9122314453125,0.9972088932991028,1470.2872314453125,870.5817260742188,0.9553435444831848,1326.840087890625,901.4022827148438,0.971179187297821
S_D_0046,90,0,0,1216.8912353515625,233.15771484375,0.9304808974266052,1224.2342529296875,221.1804656982422,0.7880252599716187,1206.50390625,222.84353637695312,0.8033592104911804,1235.1700439453125,233.72242736816406,0.6124907732009888,1190.435791015625,237.3394012451172,0.626017153263092,1272.604248046875,313.4147644042969,0.9938607215881348,1162.8271484375,322.69366455078125,0.9934718608856201,1311.9298095703125,400.489013671875,0.9775084257125854,1142.341064453125,427.2417297363281,0.9721894860267639,1335.7032470703125,472.6272888183594,0.9666156768798828,1153.3270263671875,509.9880065917969,0.9581313729286194,1281.3804931640625,499.57708740234375,0.9984080195426941,1212.3133544921875,506.0240783691406,0.9982061386108398,1286.7381591796875,631.345458984375,0.9959022402763367,1221.1259765625,641.1769409179688,0.9954879879951477,1277.5306396484375,758.2130126953125,0.9779601693153381,1232.87255859375,769.9698486328125,0.9769420623779297
S_D_0046,30,0,0,1318.71728515625,140.764892578125,0.9840207695960999,1330.58642578125,121.17654418945312,0.9221011996269226,1298.064697265625,127.69180297851562,0.951127290725708,1349.37255859375,130.467041015625,0.6364558935165405,1265.64892578125,144.84274291992188,0.7832553386688232,1395.4676513671875,235.5579071044922,0.9972882270812988,1235.445556640625,253.28164672851562,0.9975537657737732,1451.7447509765625,351.8086242675781,0.987275242805481,1211.9580078125,386.3819274902344,0.988190770149231,1490.6475830078125,457.56622314453125,0.9839631915092468,1226.0419921875,506.4334716796875,0.9835314750671387,1391.178955078125,503.8758544921875,0.9994613528251648,1292.4803466796875,513.5096435546875,0.9994650483131409,1376.2637939453125,679.5233154296875,0.9987320303916931,1291.286865234375,696.1435546875,0.9987474679946899,1347.573486328125,844.2947387695312,0.9904307723045349,1301.112548828125,871.39892578125,0.9904900789260864
